url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_6cbe446d5f92970bf65f313182c295cd
Topic,Summary
Scope,Total
Period,Daily : 2020-01-01 ~ 2025-11-15
Gender,"All(Female, Male)"
Age ,All
Date,Health
2020-08-11,0.16314
2020-08-12,0.15774
2020-08-13,0.1337
2020-08-14,0.13692
2020-08-15,0.11275
2020-08-16,0.12046
2020-08-17,0.16996
2020-08-18,0.19169
2020-08-19,0.21573
2020-08-20,0.21727
2020-08-21,0.21894
2020-08-22,0.16456
2020-08-23,0.18487
2020-08-24,0.26715
2020-08-25,0.2561
2020-08-26,0.25417
2020-08-27,0.2363
2020-08-28,0.24902
2020-08-29,0.18294
2020-08-30,0.17369
2020-08-31,0.27872
2020-09-01,0.29544
2020-09-02,0.29672
2020-09-03,0.31254
2020-09-04,0.34943
2020-09-05,0.28297
2020-09-06,0.26947
2020-09-07,1.23653
2020-09-08,3.23751
2020-09-09,1.45831
2020-09-10,1.15489
2020-09-11,0.90393
2020-09-12,0.66352
2020-09-13,0.53045
2020-09-14,0.92566
2020-09-15,1.11092
2020-09-16,1.18369
2020-09-17,1.20542
2020-09-18,1.0451
2020-09-19,0.66609
2020-09-20,0.52891
2020-09-21,4.42185
2020-09-22,100.0
2020-09-23,3.54311
2020-09-24,2.3337
2020-09-25,5.36899
2020-09-26,2.27225
2020-09-27,1.14062
2020-09-28,2.24512
2020-09-29,1.844
2020-09-30,0.9227
2020-10-01,0.88619
2020-10-02,0.81908
2020-10-03,0.71263
2020-10-04,0.74593
2020-10-05,1.65282
2020-10-06,2.47705
2020-10-07,1.61644
2020-10-08,1.3066
2020-10-09,1.32318
2020-10-10,2.34476
2020-10-11,0.75004
2020-10-12,1.62621
2020-10-13,1.67121
2020-10-14,1.51822
2020-10-15,1.6122
2020-10-16,1.38374
2020-10-17,0.9416
2020-10-18,0.56774
2020-10-19,5.9429
2020-10-20,4.71665
2020-10-21,7.86662
2020-10-22,9.85487
2020-10-23,8.59249
2020-10-24,3.25436
2020-10-25,1.5843
2020-10-26,1.99249
2020-10-27,1.60268
2020-10-28,1.09447
2020-10-29,0.94225
2020-10-30,0.7683
2020-10-31,0.58046
2020-11-01,0.46219
2020-11-02,0.63421
2020-11-03,0.60026
2020-11-04,0.58509
2020-11-05,0.53675
2020-11-06,0.48121
2020-11-07,0.39945
2020-11-08,0.35471
2020-11-09,0.56105
2020-11-10,0.50165
2020-11-11,0.44573
2020-11-12,0.45421
2020-11-13,0.41706
2020-11-14,0.33182
2020-11-15,0.32912
2020-11-16,0.47633
2020-11-17,0.45563
2020-11-18,0.45139
2020-11-19,0.41089
2020-11-20,0.39649
2020-11-21,0.30945
2020-11-22,0.34673
2020-11-23,0.47568
2020-11-24,0.43532
2020-11-25,0.41603
2020-11-26,0.44059
2020-11-27,0.38955
2020-11-28,0.31652
2020-11-29,0.31678
2020-11-30,0.45061
2020-12-01,0.43994
2020-12-02,0.41963
2020-12-03,0.40022
2020-12-04,0.38916
2020-12-05,0.32874
2020-12-06,0.32231
2020-12-07,0.43519
2020-12-08,0.4177
2020-12-09,0.40729
2020-12-10,0.39585
2020-12-11,0.36486
2020-12-12,0.27705
2020-12-13,0.32912
2020-12-14,0.42876
2020-12-15,0.40215
2020-12-16,0.38723
2020-12-17,0.38376
2020-12-18,0.35381
2020-12-19,0.28104
2020-12-20,0.28438
2020-12-21,0.40999
2020-12-22,0.37103
2020-12-23,0.35625
2020-12-24,0.27847
2020-12-25,0.20223
2020-12-26,0.23784
2020-12-27,0.25044
2020-12-28,0.35162
2020-12-29,0.30315
2020-12-30,0.28721
2020-12-31,0.24928
2021-01-01,0.2183
2021-01-02,0.21843
2021-01-03,0.21946
2021-01-04,0.28734
2021-01-05,0.26754
2021-01-06,0.25558
2021-01-07,0.22627
2021-01-08,0.21933
2021-01-09,0.20416
2021-01-10,0.20493
2021-01-11,0.25905
2021-01-12,0.24504
2021-01-13,0.22845
2021-01-14,0.2435
2021-01-15,0.22743
2021-01-16,0.18706
2021-01-17,0.17279
2021-01-18,0.22935
2021-01-19,0.22177
2021-01-20,0.21547
2021-01-21,0.20994
2021-01-22,0.2066
2021-01-23,0.17369
2021-01-24,0.17999
2021-01-25,0.23025
2021-01-26,0.21393
2021-01-27,0.19413
2021-01-28,0.19361
2021-01-29,0.1796
2021-01-30,0.15273
2021-01-31,0.17009
2021-02-01,0.20403
2021-02-02,0.20274
2021-02-03,0.19156
2021-02-04,0.18616
2021-02-05,0.1814
2021-02-06,0.1481
2021-02-07,0.14604
2021-02-08,0.20686
2021-02-09,0.19027
2021-02-10,0.17047
2021-02-11,0.14
2021-02-12,0.12972
2021-02-13,0.15543
2021-02-14,0.17729
2021-02-15,0.23514
2021-02-16,0.19901
2021-02-17,0.19786
2021-02-18,0.19914
2021-02-19,0.18397
2021-02-20,0.13409
2021-02-21,0.14373
2021-02-22,0.17921
2021-02-23,0.17986
2021-02-24,0.17214
2021-02-25,0.17613
2021-02-26,0.16314
2021-02-27,0.1445
2021-02-28,0.13833
2021-03-01,0.15402
2021-03-02,0.1787
2021-03-03,0.20763
2021-03-04,0.19644
2021-03-05,0.1688
2021-03-06,0.1382
2021-03-07,0.15222
2021-03-08,0.1994
2021-03-09,0.2012
2021-03-10,0.18899
2021-03-11,0.17767
2021-03-12,0.1652
2021-03-13,0.12997
2021-03-14,0.14733
2021-03-15,0.20647
2021-03-16,0.20454
2021-03-17,0.1895
2021-03-18,0.19336
2021-03-19,0.1715
2021-03-20,0.14206
2021-03-21,0.16584
2021-03-22,0.2048
2021-03-23,0.1976
2021-03-24,0.18924
2021-03-25,0.18551
2021-03-26,0.16841
2021-03-27,0.14167
2021-03-28,0.15594
2021-03-29,0.2084
2021-03-30,0.20416
2021-03-31,0.19001
2021-04-01,0.19541
2021-04-02,0.17343
2021-04-03,0.14193
2021-04-04,0.14746
2021-04-05,0.20853
2021-04-06,0.20428
2021-04-07,0.2165
2021-04-08,0.21328
2021-04-09,0.18641
2021-04-10,0.1481
2021-04-11,0.16623
2021-04-12,0.2129
2021-04-13,0.19786
2021-04-14,0.21444
2021-04-15,0.21148
2021-04-16,0.1877
2021-04-17,0.16661
2021-04-18,0.17201
2021-04-19,0.22923
2021-04-20,0.22781
2021-04-21,0.19953
2021-04-22,0.21213
2021-04-23,0.20261
2021-04-24,0.1643
2021-04-25,0.17484
2021-04-26,0.22036
2021-04-27,0.20428
2021-04-28,0.19413
2021-04-29,0.17343
2021-04-30,0.15864
2021-05-01,0.14039
2021-05-02,0.14759
2021-05-03,0.21971
2021-05-04,0.18423
2021-05-05,0.1418
2021-05-06,0.19438
2021-05-07,0.16931
2021-05-08,0.13795
2021-05-09,0.15273
2021-05-10,0.18783
2021-05-11,0.18757
2021-05-12,0.18719
2021-05-13,0.18114
2021-05-14,0.16392
2021-05-15,0.13615
2021-05-16,0.158
2021-05-17,0.18243
2021-05-18,0.16841
2021-05-19,0.14
2021-05-20,0.18269
2021-05-21,0.16751
2021-05-22,0.12882
2021-05-23,0.13743
2021-05-24,0.19348
2021-05-25,0.16392
2021-05-26,0.16816
2021-05-27,0.18706
2021-05-28,0.15787
2021-05-29,0.12085
2021-05-30,0.13537
2021-05-31,0.1868
2021-06-01,0.18976
2021-06-02,0.16906
2021-06-03,0.16777
2021-06-04,0.15286
2021-06-05,0.12136
2021-06-06,0.12766
2021-06-07,0.18719
2021-06-08,0.1778
2021-06-09,0.16572
2021-06-10,0.17857
2021-06-11,0.16006
2021-06-12,0.11827
2021-06-13,0.13062
2021-06-14,0.17484
2021-06-15,0.17356
2021-06-16,0.16147
2021-06-17,0.14746
2021-06-18,0.13717
2021-06-19,0.10182
2021-06-20,0.11725
2021-06-21,0.15144
2021-06-22,0.13846
2021-06-23,0.13075
2021-06-24,0.12946
2021-06-25,0.11802
2021-06-26,0.16906
2021-06-27,0.12856
2021-06-28,0.15016
2021-06-29,0.13332
2021-06-30,0.12033
2021-07-01,0.12329
2021-07-02,0.1175
2021-07-03,0.09552
2021-07-04,0.11043
2021-07-05,0.14026
2021-07-06,0.1553
2021-07-07,0.16109
2021-07-08,0.16083
2021-07-09,0.15929
2021-07-10,0.1121
2021-07-11,0.12676
2021-07-12,0.17741
2021-07-13,0.17484
2021-07-14,0.1859
2021-07-15,0.1616
2021-07-16,0.1508
2021-07-17,0.11159
2021-07-18,0.11635
2021-07-19,0.14669
2021-07-20,0.15479
2021-07-21,0.14129
2021-07-22,0.14399
2021-07-23,0.13499
2021-07-24,0.11082
2021-07-25,0.11493
2021-07-26,0.1445
2021-07-27,0.14527
2021-07-28,0.13859
2021-07-29,0.13113
2021-07-30,0.12033
2021-07-31,0.10285
2021-08-01,0.12303
2021-08-02,0.14052
2021-08-03,0.12959
2021-08-04,0.13383
2021-08-05,0.14283
2021-08-06,0.12792
2021-08-07,0.10786
2021-08-08,0.10542
2021-08-09,0.14874
2021-08-10,0.1544
2021-08-11,0.16919
2021-08-12,0.15479
2021-08-13,0.15376
2021-08-14,0.12715
2021-08-15,0.1094
2021-08-16,0.13962
2021-08-17,0.15337
2021-08-18,0.15749
2021-08-19,0.16083
2021-08-20,0.16237
2021-08-21,0.1157
2021-08-22,0.12059
2021-08-23,0.17214
2021-08-24,0.16803
2021-08-25,0.1661
2021-08-26,0.16829
2021-08-27,0.15299
2021-08-28,0.10786
2021-08-29,0.12149
2021-08-30,0.1652
2021-08-31,0.18564
2021-09-01,0.17613
2021-09-02,0.19271
2021-09-03,0.18127
2021-09-04,0.13653
2021-09-05,0.14322
2021-09-06,0.29647
2021-09-07,0.34236
2021-09-08,0.28129
2021-09-09,0.26664
2021-09-10,0.23373
2021-09-11,0.1643
2021-09-12,0.16366
2021-09-13,0.30405
2021-09-14,0.49253
2021-09-15,0.35226
2021-09-16,0.28335
2021-09-17,0.24555
2021-09-18,0.18564
2021-09-19,0.14926
2021-09-20,0.14759
2021-09-21,0.15569
2021-09-22,0.18281
2021-09-23,0.32488
2021-09-24,0.33375
2021-09-25,0.25005
2021-09-26,0.21406
2021-09-27,0.33413
2021-09-28,0.34506
2021-09-29,0.32064
2021-09-30,0.30495
2021-10-01,0.31125
2021-10-02,0.22588
2021-10-03,0.21097
2021-10-04,0.26214
2021-10-05,0.38762
2021-10-06,0.37913
2021-10-07,0.39109
2021-10-08,0.35753
2021-10-09,0.26111
2021-10-10,0.24504
2021-10-11,0.33452
2021-10-12,0.60656
2021-10-13,0.57738
2021-10-14,0.68075
2021-10-15,0.66557
2021-10-16,0.56079
2021-10-17,0.44033
2021-10-18,0.77563
2021-10-19,0.6891
2021-10-20,0.62109
2021-10-21,0.60219
2021-10-22,0.62533
2021-10-23,0.5239
2021-10-24,0.40356
2021-10-25,0.62443
2021-10-26,0.56079
2021-10-27,0.55269
2021-10-28,0.57494
2021-10-29,0.58085
2021-10-30,0.45036
2021-10-31,0.40356
2021-11-01,0.62032
2021-11-02,0.6486
2021-11-03,0.73397
2021-11-04,0.63408
2021-11-05,0.58638
2021-11-06,0.48481
2021-11-07,0.4555
2021-11-08,0.6405
2021-11-09,0.60785
2021-11-10,0.57018
2021-11-11,0.55809
2021-11-12,0.52274
2021-11-13,0.44959
2021-11-14,0.55578
2021-11-15,0.84351
2021-11-16,0.66455
2021-11-17,0.59461
2021-11-18,0.54601
2021-11-19,0.51091
2021-11-20,0.40523
2021-11-21,0.3691
2021-11-22,0.49137
2021-11-23,0.51451
2021-11-24,0.49523
2021-11-25,0.47993
2021-11-26,0.45473
2021-11-27,0.35393
2021-11-28,0.34853
2021-11-29,0.47131
2021-11-30,0.46604
2021-12-01,0.44817
2021-12-02,0.47131
2021-12-03,0.40986
2021-12-04,0.33478
2021-12-05,0.33812
2021-12-06,0.46926
2021-12-07,0.43442
2021-12-08,0.46836
2021-12-09,0.42066
2021-12-10,0.39417
2021-12-11,0.28181
2021-12-12,0.28052
2021-12-13,0.42503
2021-12-14,0.42683
2021-12-15,0.39045
2021-12-16,0.39855
2021-12-17,0.33825
2021-12-18,0.27435
2021-12-19,0.28682
2021-12-20,0.38158
2021-12-21,0.33503
2021-12-22,0.31536
2021-12-23,0.30277
2021-12-24,0.2624
2021-12-25,0.19606
2021-12-26,0.23874
2021-12-27,0.31138
2021-12-28,0.32938
2021-12-29,0.30971
2021-12-30,0.27731
2021-12-31,0.22691
2022-01-01,0.19593
2022-01-02,0.2345
2022-01-03,0.33426
2022-01-04,0.34159
2022-01-05,0.31035
2022-01-06,0.29569
2022-01-07,0.26792
2022-01-08,0.2192
2022-01-09,0.22421
